Tuesday,"['thứ ba', 'ngày thứ ba', 'thứ Ba', 'Thứ Ba']"
hurt,"['đau', 'xúc phạm', 'chạm', 'nhức', 'đầu', 'bị đau', 'làm bị thương', 'làm đau', 'tổn thương', 'vết thương', 'lao', 'bị tổn hại', 'bị tổn thương', 'bị xúc phạm', 'chỗ bị đau', 'gây thiệt hại', 'gây tác hại', 'làm hư', 'làm hỏng', 'làm tổn thương', 'sự chạm đến', 'sự làm tổn thương', 'sự xúc phạm', 'tai hại', 'thương tổn', 'tổn hại', 'điều hại', 'sát', 'bị thương', 'làm hại', 'đau đớn']"
market,"['chợ', 'thị trường', '市場', 'bán ở chợ', 'bán ở thị trường', 'chợ búa', 'giá thị trường', 'khách hàng', 'mua bán ở chợ', 'nơi tiêu thụ', 'tình hình thị trường', 'bán', 'chợ phố']"
wish,"['muốn', 'mong', 'hy vọng', 'chúc', 'cầu mong', 'ý muốn', 'ước', 'cầu', 'lời cầu', 'ý nguyện', 'điều ước', 'lời chúc', 'lệnh', 'chí nguyện', 'cầu chúc', 'lòng ao ước', 'lòng mong muốn', 'lòng thèm muốn', 'mong ước', 'nguyện vọng', 'sở cầu', 'sở nguyện', 'sở vọng', 'thèm muốn', 'điều mong ước', 'ước ao', 'ước mong', 'ước muốn', 'ước mơ', 'nguyện', 'yêu cầu']"
casualty,"['người bị thương', 'người chết', 'nạn nhân', 'số người bị thương', 'số người chết', 'số người mất tích', 'số thương vong', 'tai biến', 'tai hoạ', 'tai nạn', 'thương vong']"
business,"['doanh nghiệp', 'công tác', 'công việc', 'kinh doanh', 'việc', 'việc kinh doanh', 'nghề', 'quyền', 'chỗ làm ăn', 'công chuyện', 'thương mại', 'cách diễn xuất', 'kinh doanh thương mại', 'làm ăn', 'nghiệp vụ', 'nghề nghiệp', 'nghị sự', 'nhuồm khoé', 'quá trình diễn biến', 'sự giao dịch', 'tuồm vấn đề', 'tình trạng bận rộn', 'việc buôn bán', 'việc khó khăn', 'việc thương mại', 'xí nghiệp', 'nghiệp', 'vụ', 'sự', 'công ty', 'cửa hàng', 'nghiệp vụ, kinh doanh, công việc']"
mercy,"['lòng nhân từ', 'sự may mắn', 'ơn', 'hạnh phúc', 'lòng khoan dung', 'lòng thương', 'lòng thương xót', 'lòng từ bi', 'thương xót', 'điều sung sướng', 'ơn huệ', 'sự khoan dung', 'ân sủng', 'ân điển', 'ân', 'từ tâm']"
fondly,['một cách trìu mến']
often,"['thường', 'hay', 'luôn', 'năng', 'có nhiều khi', 'hằng', 'thường khi', 'thường thường', 'thường xuyên', 'thöôøng, hay, luoân']"
civilian,"['thường dân', 'dân sự', 'dân thường', 'lương dân', 'người dân', 'người thường']"
always,"['luôn luôn', 'mãi mãi', 'luôn', 'hoài', 'bất cứ lúc nào', 'lúc nào cũng', 'muôn đời', 'xưa nay', 'hằng', 'suốt', 'bao giờ cũng']"
commonly used,['cannot found']
often,"['thường', 'hay', 'luôn', 'năng', 'có nhiều khi', 'hằng', 'thường khi', 'thường thường', 'thường xuyên', 'thöôøng, hay, luoân']"
usually,"['thường', 'thường thường', 'những', 'bình thường', 'hằng', 'usually', 'thường lệ', 'thường xuyên', 'đánh dấu trọng âm']"
Every days,['cannot found']
Everyday,"['hàng ngày', 'phổ biến', 'thường', 'quen thuộc', 'sáo', 'bình nhật', 'dùng hằng ngày', 'hằng ngày', 'thông thường', 'thường ngày', 'thường nhật', 'tầm thường', 'xảy ra hằng ngày']"
annual,"['hàng năm', 'cây một năm', 'hằng năm', 'năm một', 'sống một năm', 'thường niên', 'từng năm', 'xuất bản hàng năm']"
often committed,['cannot found']
civics,['cannot found']
often painted,['cannot found']
newcomer,['người mới đến']
common sense,['cannot found']
usually,"['thường', 'thường thường', 'những', 'bình thường', 'hằng', 'usually', 'thường lệ', 'thường xuyên', 'đánh dấu trọng âm']"
casual,"['thất thường', 'tình cờ', 'thường', 'bâng quơ', 'bình thản', 'hời hợt', 'hững hờ', 'thiếu nghiêm túc', 'thiếu tề chỉnh', 'thản nhiên', 'tùy tiện', 'vô ý', 'xoàng xĩnh', 'xuềnh xoàng', 'bình thường', 'bất chợt', 'cẩu thả', 'không có chủ định', 'không trịnh trọng', 'không đều', 'lúc có lúc không', 'ngẫu nhiên', 'tuỳ tiện', 'tự nhiên', 'vô tình', 'vô ý tứ']"
Resident,"['cư dân', 'cư trú', 'cư ngụ', 'người cư ngụ', 'người dân', 'chim không di trú', 'công sứ', 'người trú ngụ', 'nội trú', 'sở tại', 'thuộc về', 'thường trú', 'thống sứ', 'ở chính thức', 'ở ngay tại chỗ', 'ở vào']"
regular,"['đều', 'đều đặn', 'chính quy', 'cân đối', 'thường xuyên', 'đúng', 'thường trực', 'thật', 'vừa', 'chuyên nghiệp', 'hoàn toàn', 'hợp cách', 'hợp lệ', 'hợp thức', 'khách hàng quen', 'không thay đổi', 'mực thước', 'nhân viên thường xuyên', 'quy củ', 'quy tắc', 'quân chính quy', 'thông thường', 'thường lệ', 'thật sự', 'trong biên chế', 'tu đạo', 'đúng giờ giấc', 'đúng mực', 'đều đều', 'ở tu viện', 'thường', 'theo quy tắc', 'thói quen', 'trung bình', 'ổn định']"
standing,"['đứng', 'thường trực', 'ứ', 'đọng', 'thẳng đứng', 'tù', 'chưa gặt', 'hiện hành', 'không dùng', 'sự lâu dài', 'sự đỗ', 'sự đứng', 'thế đứng', 'đã được công nhận', 'để đứng không', 'địa vị', 'vĩnh cửu']"
frequent,"['thường xuyên', 'hay xảy ra', 'hay', 'thường', 'có luôn', 'hay lui tới', 'hay ở', 'lai vãng', 'lui tới', 'tới lui', 'vãng lai']"
bonus,"['tiền thưởng', 'tiền các', 'phần thưởng', 'lợi tức chia thêm']"
contemplate,"['ngắm', 'nghĩ', 'chiêm ngưỡng', 'chờ đợi', 'dự tính', 'dự định', 'liệu trước', 'lặng ngắm', 'thưởng ngoạn', 'trầm ngâm', 'suy ngẫm']"
moon bonus,['cannot found']
payoff,['cannot found']
enjoy,"['thích thú', 'hưởng', 'có được', 'đánh dấu trọng âm', 'được', 'khoái', 'hưởng thụ', 'thưởng ngoạn', 'thưởng thức', 'tận hưởng', 'tọa hưởng', 'được hưởng']"
spring bonus,['cannot found']
dear,"['đắt', 'đắt tiền', 'thân', 'thân mến', 'đắt đỏ', 'thưa', 'kính thưa', 'thân yêu', 'đáng yêu', 'hỡi', 'chân tình', 'quý mến', 'than ôi', 'thiết tha', 'thân ái', 'thương mến', 'trời ơi', 'yêu dấu', 'yêu mến', 'yêu quý', 'đáng mến', 'kính gừi', 'người yêu quý']"
upper,"['trên', 'cao', 'thượng', 'ghệt', 'muộn', 'bên trên', 'khoác ngoài', 'mũ giày', 'mặc ngoài', 'cao hơn']"
superiors,['thượng cấp']
caveman,"['người ở hang', 'kẻ vũ phu', 'người thượng cổ']"
upland,"['vùng cao', 'ở vùng cao', 'cao nguyên']"
superiority,"['sự cao hơn', 'sự đứng trên', 'sự ở trên', 'tính hơn hẳn', 'tính ưu việt', 'mạnh hơn', 'ưu thế']"
God,"['Thiên Chúa', 'Chúa', 'Trời', 'Chúa trời', 'chúa', 'các vị thần', 'thánh', 'thần', 'đức Chúa', 'Chúa Trời', 'Thượng Đế', 'thượng đế']"
Thuong Thien,['cannot found']
summit,"['đỉnh', 'chóp', 'chỏm', 'cuộc họp thượng đỉnh', 'ngọn', 'cấp cao', 'cấp cao nhất', 'thượng đỉnh', 'hội nghị thượng đỉnh']"
upper world,['cannot found']
upper and lower,['cannot found']
top class,['cannot found']
Emperor,"['Hoàng đế', 'hoàng thượng', 'thiên tử', 'thánh thượng', 'đế vương']"
shanghai,['thượng hải']
VIPs,['cannot found']
Shanghai,"['Thượng Hải', '上海']"
highway,"['quốc lộ', 'đường cái', 'xa lộ', 'đường quốc lộ', 'đường ô tô', 'cao tốc', 'đường cao tốc', 'lộ', 'con đường', 'con đường chính', 'đường lối', 'Xa lộ']"
upstream,"['ngược dòng', 'Tiền', 'thượng nguồn']"
high horse,['cannot found']
Senator,"['nghị sĩ', 'thượng nghị sĩ']"
Senate,"['thượng nghị viện', 'ban giám đốc', 'thượng viện', 'Viện nguyên lão', 'viện nguyên lão']"
highland,"['cao nguyên', 'rẻo cao', 'vùng cao nguyên Ê-cốt']"
top product,['cannot found']
magistrate,"['quan tòa', 'pháp quan', 'quan toà']"
Upper Kingdom,['cannot found']
top book,['cannot found']
sergeant major,['cannot found']
Colonel,"['đại tá', 'thượng tá', 'Đại tá']"
high school,['cannot found']
superstructure,"['kiến trúc thượng tầng', 'phần ở trên', 'thượng tầng kiến trúc', 'tầng ở trên']"
superstructure,"['kiến trúc thượng tầng', 'phần ở trên', 'thượng tầng kiến trúc', 'tầng ở trên']"
Thuong Thanh,['cannot found']
magistrate,"['quan tòa', 'pháp quan', 'quan toà']"
longevity,"['sống lâu', 'tuổi thọ', 'sự sống lâu', 'sự trường thọ', 'Tuổi thọ người', 'tuổi thọ người']"
Upper land lower weight,['cannot found']
chief minister,['cannot found']
Venerable Master,['cannot found']
upper week,['cannot found']
Upper Minister,['cannot found']
high ty,['cannot found']
Lieutenant,"['trung úy', 'người thay thế', 'người tạm thay', 'trung uý', 'đại uý hải quân', 'Trung úy']"
upper echelon,['cannot found']
martial arts,['cannot found']
graceful,"['duyên dáng', 'yêu kiều', 'kiều diễm', 'phong nhã', 'có duyên', 'dịu dàng', 'thanh nhã', 'yểu điệu', 'tao nhã', 'trang nhã', 'xinh đẹp']"
sloppy,"['cẩu thả', 'luộm thuộm', 'sướt mướt', 'có nhiều vũng nước', 'có nước bẩn', 'không có hệ thống', 'lõng bõng', 'tuỳ tiện', 'uỷ mị', 'đầy nước', 'ướt bẩn', 'ướt át', 'loãng', 'ủy mị']"
ti,['cannot found']
organization,"['tổ chức', 'sự tổ chức', 'cơ quan', 'đoàn thể', 'hội đoàn', 'tổ họp', 'việc tổ chức', 'sự cấu tạo', 'hội']"
pride,"['bầy', 'đàn', 'lòng tự trọng', 'tự hào', 'tự ái', 'kiêu căng', 'kiêu hãnh', 'lòng tự ái', 'lấy làm kiêu hãnh', 'lấy làm tự hào', 'niềm hãnh diện', 'niềm kiêu hãnh', 'niềm tự hào', 'sự huy hoàng', 'sự hãnh diện', 'sự kiêu hãnh', 'sự lộng lẫy', 'sự tráng lệ', 'sự tự hào', 'tính hăng', 'tính kiêu căng', 'tính tự cao', 'tính tự phụ', 'tự kiêu', 'độ chín muồi', 'độ phát triển nhất', 'độ rực rỡ nhất', 'độ đẹp nhất']"
ti hi,['cannot found']
ti ti,['cannot found']
billions of dollars,['cannot found']
mean,"['nghĩa là', 'trung bình', 'bần tiện', 'bủn xỉn', 'muốn', 'định', 'hèn hạ', 'muốn nói', 'tầm thường', 'ở giữa', 'cách', 'hèn', 'bẩn', 'có vẻ là', 'hẹp hòi', 'ích kỷ', 'kế', 'kiệt', 'chiến', 'vừa', 'mọn', 'biện pháp', 'bẩn thỉu', 'chủ tâm', 'chủ ý', 'có nghĩa là', 'có ý muốn', 'có ý nghĩa lớn', 'có ý định', 'dành cho', 'dụng tâm', 'dự định', 'giá trị trung bình', 'hèn kém', 'hôi tanh', 'hắc búa', 'khoảng giữa', 'khốn khổ', 'khốn nạn', 'kém cỏi', 'lủn mủn', 'nhỏ nhen', 'nhỏ nhặt', 'phương tiện', 'số trung bình', 'tang thương', 'thấp hèn', 'thấp kém', 'ti tiện', 'tiều tuỵ', 'trung dung', 'trung gian', 'trung độ', 'tối tân', 'tồi tệ', 'tủn mủn', 'xấu hổ thầm', 'ý nghĩa', 'đáng giá', 'đáng kể', 'đê hèn', 'đê mạt', 'để cho', 'đốn mạt', 'đớn mạt', 'Số bình quân', 'keo kiệt', 'số bình quân', 'tồi tàn', 'xấu xí']"
Tie toe,['cannot found']
architecture,"['kiến trúc', 'công trình kiến trúc', 'cấu trúc', 'công trình xây dựng', 'khoa kiến trúc', 'khoa xây dựng', 'kiểu kiến trúc', 'sự xây dựng', 'thuật kiến trúc']"
hi,"['chào', 'anh', 'bà', 'chị', 'cô', 'em', 'quí vị', 'ông', 'Xin chào!', 'xin chào', 'lời chào']"
blemish,"['thiếu sót', 'tật', 'dơ', 'hư hỏng', 'làm hư', 'làm hỏng', 'làm nhơ nhuốc', 'làm xấu', 'làm ô uế', 'nhược điểm', 'vết nhơ']"
hiccup,"['nấc', 'cái nấc', 'nấc cục', 'nấc cụt', 'trục trặc', 'vừa nói vừa nấc']"
blemish,"['thiếu sót', 'tật', 'dơ', 'hư hỏng', 'làm hư', 'làm hỏng', 'làm nhơ nhuốc', 'làm xấu', 'làm ô uế', 'nhược điểm', 'vết nhơ']"
meticulous,"['tỉ mỉ', 'quá kỹ càng', 'tỷ mỉ']"
billion,"['tỷ', 'tỉ', 'Pháp tỉ nghìn triệu', 'một nghìn tỉ', 'một ngàn triệu', 'một tỷ', 'nghìn tỉ']"
money,"['tiền', 'đồng', 'tiền bạc', 'ngân', 'tiền tệ', 'bạc', 'tiền nong', 'của cải', 'hơi đồng', 'những món tiền', 'theo ý tôi', 'tiền của', 'tiền tài', 'tài sản', 'đồng tiền', 'kim', 'tieàn', '金']"
little,"['ít', 'nhỏ', 'tiểu', 'bé', 'một chút', 'ngắn', 'một ít', 'nhỏ bé', 'tầm thường', 'bé bỏng', 'bé mọn', 'nhí', 'út', 'be bỏng', 'bé nhỏ', 'chẳng bao nhiêu', 'hẹp hòi', 'không một chút nào', 'không nhiều', 'một quâng ngắn', 'một thời gian ngắn', 'ngắn ngủi', 'nhỏ mọn', 'nhỏ nhen', 'nhỏ nhoi', 'ti tiện', 'ít ỏi', 'ta', 'nào', 'không quan trọng']"
little bit,['cannot found']
little peak,['cannot found']
Tiny,"['bé tí', 'bé', 'nhỏ xíu', 'tí hon', 'tiểu', 'xíu', 'bé bỏng', 'bé xíu', 'nhỏ bé', 'nhắt', 'mọn', 'tép', 'bé tị', 'lắt nhắt', 'nhỏ tí']"
just later,['cannot found']
cup,"['tách', 'chén', 'ly', 'cúp', 'giác', 'cốc', 'rượu', 'cái tách', 'giải', 'tích', 'chu thành hình chén', 'khum thành hình chén', 'nguồn cơn', 'niềm vui', 'nỗi khổ', 'sự say sưa', 'vật hình chén', 'ống giác', 'chung', 'âu', 'đọi', 'dấu &#8746;', 'dấu ∪']"
little meow,['cannot found']
jot,"['chút', 'tí tẹo', 'tí teo', 'ít']"
little bit,['cannot found']
little bit,['cannot found']
tiny,"['bé tí', 'bé', 'nhỏ xíu', 'tí hon', 'tiểu', 'xíu', 'bé bỏng', 'bé xíu', 'nhỏ bé', 'nhắt', 'mọn', 'tép', 'bé tị', 'lắt nhắt', 'nhỏ tí']"
envy,"['ghen tị', 'sự ghen tị', 'sự thèm muốn', 'nạnh', 'sự ganh tỵ', 'sự ghen tỵ', 'ganh ghét', 'ganh tị', 'ghen ghét', 'ghen tỵ', 'lòng ghen', 'sự đố kỵ', 'thèm muốn', 'đố kỵ', 'Ghen']"
envy,"['ghen tị', 'sự ghen tị', 'sự thèm muốn', 'nạnh', 'sự ganh tỵ', 'sự ghen tỵ', 'ganh ghét', 'ganh tị', 'ghen ghét', 'ghen tỵ', 'lòng ghen', 'sự đố kỵ', 'thèm muốn', 'đố kỵ', 'Ghen']"
refugee,"['người tị nạn', 'người lánh nạn', 'dân tị nạn', 'người tỵ nạn', 'Tị nạn', 'ngöôøi tî naïn', 'người lưu vong', 'tỵ nạn']"
refugee,"['người tị nạn', 'người lánh nạn', 'dân tị nạn', 'người tỵ nạn', 'Tị nạn', 'ngöôøi tî naïn', 'người lưu vong', 'tỵ nạn']"
ray,"['tia', 'cá đuối', 'quang tuyến', 'tia hy vọng', 'ánh', 'ánh sáng', 'Quang tuyến']"
radiation,"['bức xạ', '放射', 'phóng xạ', '輻射', 'sự bức xạ', 'sự phát xạ', 'sự toả ra']"
ron-tron,['cannot found']
purple rays,['cannot found']
cosmic rays,['cannot found']
X ray,['cannot found']
trim,"['tỉa', 'xén', 'cắt', 'sửa', 'cời', 'chỉnh buồm', 'diềm', 'gờ gỗ', 'hớt', 'nẹp', 'gạt', 'bào', 'chỉnh tề', 'cách ăn mặc', 'góc chênh', 'gọn gàng', 'lựa chiều', 'mắng mỏ', 'ngăn nắp', 'sắp xếp', 'sửa cho một trận', 'sự gọn gàng', 'sự ngăn nắp', 'theo hướng gió', 'theo đúng hướng gió', 'thu dọn', 'trang sức', 'trang điểm', 'trạng thái sẵn sàng', 'tô điểm', 'y phục', 'độ chênh', 'cắt ngắn', 'cắt tỉa']"
purple,"['tía', 'đỏ tía', 'màu tím', 'màu đỏ tía', 'tím', 'ban xuất huyết', 'hoa mỹ', 'màu tía', 'văn hoa', 'áo màu tía', 'Tía']"
Perilla,['tía tô']
volume,"['thể tích', 'quyển', 'âm lượng', 'tập', 'dung tích', 'khối', 'khối lượng', 'cuốn', 'dung lượng', 'sách', 'cuốn sách', 'số lượng', 'âm lượng, dung lượng']"
positive,"['chắc chắn', 'dương', 'bản dương', 'hoàn toàn', 'khẳng định', 'rõ ràng', 'dương tính', 'lạc quan', 'số dương', 'thuận lợi', 'chứng', 'do người đặt ra', 'hết sức', 'khả quan', 'quả quyết', 'tuyệt đối', 'tích cực', 'xác thực', 'điều có thực', 'điều xác thực', 'đặt ra']"
charged,['đã nạp đầy']
accumulation,"['sự tích luỹ', 'sự tích tụ', 'sự chất đống', 'sự chồng chất', 'sự góp nhặt', 'sự làm giàu', 'sự tích của', 'sự tích lại', 'sự tích thêm vốn', 'sự tích trữ', 'tích lũy', 'đống']"
integral,"['tích phân', 'nguyên', 'cần cho tính nguyên', 'toàn bộ', 'trọn vẹn', 'tính nguyên', 'Tích phân']"
numerical analysis,['cannot found']
history,"['lịch sử', '歷史', 'sử', 'sử học', 'môn lịch sử', 'quá trình lịch sử', 'lịch', 'kịch lịch sử', 'sử ký', 'sự tích', 'tiểu sử', '歷']"
ticks,['cannot found']
store,"['cửa hàng', 'tích trữ', 'trữ', 'cửa hiệu', 'dự trữ', 'nhà kho', 'sự có nhiều', 'để dành', 'kho', 'chứa', 'tích', 'hiệu', 'đựng', 'quán', 'nhớ', 'bồi dưỡng', 'cho vào kho', 'cất trong kho', 'cửa hàng bách hoá', 'cửa hàng bách hóa', 'giữ trong kho', 'hàng tích trữ', 'hàng để cung cấp', 'kho hàng', 'lưu trữ', 'sự dồi dào', 'trau dồi', 'tàng trữ', 'đồ dự trữ', 'cất', 'lẫm', 'phố', 'dồi dào', 'lưu giữ']"
accumulation,"['sự tích luỹ', 'sự tích tụ', 'sự chất đống', 'sự chồng chất', 'sự góp nhặt', 'sự làm giàu', 'sự tích của', 'sự tích lại', 'sự tích thêm vốn', 'sự tích trữ', 'tích lũy', 'đống']"
president,"['chủ tịch', 'tổng thống', 'hiệu trưởng', '會長', '總統', 'chủ tịch hội đồng quản trị', 'giám quốc', 'hội trưởng', 'thống sứ', 'thống đốc', 'Chủ tịch', 'Tổng thống']"
confiscation,"['sự tịch thu', 'sự sung công', 'sự ỷ quyền cướp không']"
president cup,['cannot found']
die,"['chết', 'mất', 'tử', 'dobókocka', 'kocka', 'khuôn rập', 'khao khát', 'toi', 'tịch', 'băng hà', 'bị quên đi', 'chân cột', 'chíp rời = individual chip', 'chầu trời', 'chết chóc', 'chết lặng đi', 'con súc sắc', 'hy sinh', 'khuôn kéo sợi', 'không còn nữa', 'mất đi', 'nằm xuống', 'phiến tinh thể rời', 'quân súc sắc', 'se lại đau đớn', 'thiệt mạng', 'tàn lụi', 'tắt đi', 'từ trần', 'chet', 'Xúc xắc', 'biến mất', 'diệt vong', 'qua đời', 'xúc xắc']"
yang yang,['cannot found']
Presidential signature,['cannot found']
celibacy,"['sống độc thân', 'sự sống độc thân']"
solitary,"['đơn độc', 'cô đơn', 'chơi vơi', 'cô quạnh', 'cô độc', 'heo hút', 'hiu quạnh', 'hẻo lánh', 'một cách đơn độc', 'một mình', 'người ở ẩn', 'thui thủi', 'trơ trọi', 'tịch liêu', 'vắng vẻ', 'đơn chiếc', 'ẩn sĩ', 'độc', 'cô', 'chỉ có một']"
confiscation,"['sự tịch thu', 'sự sung công', 'sự ỷ quyền cướp không']"
death,"['cái chết', 'sự chết', 'chết', '死神', 'bị giết chết', 'thần chết', 'tử thần', 'tử vong', 'tử', 'đừ', 'bỏ mẹ', 'chí chết', 'chí tử', 'chết xác', 'sự chấm dứt', 'sự kết liễu', 'sự tan vỡ', 'sự tiêu tan']"
regret,"['tiếc', 'hối tiếc', 'hối', 'sự ân hận', 'thương tiếc', 'tiếc rẻ', 'lòng thương tiếc', 'sự hối tiếc', 'đau buồn', 'loøng thöông tieác, hoái haän', 'luyến tiếc', 'lấy làm tiếc', 'nuối tiếc', 'tiếc thương']"
regretfully,['cannot found']
party,"['đảng', 'tiệc', 'nhóm', '政黨', '黨', 'chánh đảng', 'bên', 'phe', 'buổi tiệc', 'bè', 'bè đảng', 'bữa tiệc', 'phái', 'tiệc tùng', 'đảng phái', 'đoàn', 'cuộc', 'đội', 'toán', 'tay', 'buổi liên hoan', 'người tham dự', 'người tham gia', 'những người cùng đi', 'phe đảng', 'đảng bộ']"
savory party,['cannot found']
wine party,['cannot found']
teParty,['cannot found']
party,"['đảng', 'tiệc', 'nhóm', '政黨', '黨', 'chánh đảng', 'bên', 'phe', 'buổi tiệc', 'bè', 'bè đảng', 'bữa tiệc', 'phái', 'tiệc tùng', 'đảng phái', 'đoàn', 'cuộc', 'đội', 'toán', 'tay', 'buổi liên hoan', 'người tham dự', 'người tham gia', 'những người cùng đi', 'phe đảng', 'đảng bộ']"
injection,"['sự tiêm', 'mũi tiêm', 'sự chích thuốc', 'tiêm', 'chất tiêm', 'phát tiêm', 'phép nội xạ', 'sự phun', 'thuốc tiêm', 'tiêm thuốc']"
infection,"['nhiễm trùng', 'sự nhiễm', 'bệnh lây nhiễm', 'nhiễm khuẩn', 'sự làm nhiễm trùng', 'sự làm nhiễm độc', 'sự tiêm nhiễm', 'sự đầu độc', 'vật lây nhiễm', 'ảnh hưởng lan truyền', 'dạng viêm', 'sự lây nhiễm', 'sự nhiễm trùng', 'Nhiễm trùng', 'căn bệnh']"
inject socks,['cannot found']
inject cells,['cannot found']
potential,"['tiềm tàng', 'tiềm lực', 'khả năng', 'điện thế', 'có tiềm năng', 'thế', 'hùng mạnh', 'lối khả năng', 'tiềm năng']"
potential,"['tiềm tàng', 'tiềm lực', 'khả năng', 'điện thế', 'có tiềm năng', 'thế', 'hùng mạnh', 'lối khả năng', 'tiềm năng']"
potential,"['tiềm tàng', 'tiềm lực', 'khả năng', 'điện thế', 'có tiềm năng', 'thế', 'hùng mạnh', 'lối khả năng', 'tiềm năng']"
potential,"['tiềm tàng', 'tiềm lực', 'khả năng', 'điện thế', 'có tiềm năng', 'thế', 'hùng mạnh', 'lối khả năng', 'tiềm năng']"
Submarine,"['Tàu ngầm', 'tàu lặn', 'tầu ngầm', 'cây mọc dưới biển', 'dưới biển', 'tiềm thủy đĩnh']"
subconscious,"['tiềm thức', 'thuộc tiềm thức']"
shop,"['cửa hàng', 'đi mua hàng', 'tiệm', 'hiệu', 'sắm', 'phân xưởng', 'cửa tiệm', 'hàng quán', 'quán', 'bắt giam', 'bị tù', 'bỏ tù', 'công việc làm ăn', 'công xưởng', 'cơ sở', 'cửa hiệu', 'mua sắm', 'sắm sanh', 'trường sở nghề nghiệp', 'đi chợ', 'đi khảo giá', 'phố', 'kho', 'điếm']"
potential,"['tiềm tàng', 'tiềm lực', 'khả năng', 'điện thế', 'có tiềm năng', 'thế', 'hùng mạnh', 'lối khả năng', 'tiềm năng']"
take,"['lấy', 'nắm', 'mất', 'đưa', 'nhận', 'dùng', 'chụp', 'đi', 'cầm', 'làm', 'uống', 'ăn', 'mang', 'bắt', 'đem', 'dẫn', 'phải', 'chiếm', 'được', 'theo', 'chịu', 'giữ', 'mua', 'đựng', 'thuê', 'chứa được', 'cảm thấy', 'cảnh quay', 'cầm lấy', 'ghi chép', 'lấy đi', 'nhìn ngắm', 'ăn uống', 'đem đi', 'đồng ý nhận', 'ứng xử', 'tiếp', 'bị', 'ghi', 'đoạt', 'dắt', 'bén', 'chép', 'hóng', 'mướn', 'chầu', 'mắc', 'nhiễm', 'dĩ', 'ngấm', 'mẻ', 'cho là', 'chịu đựng', 'coi như', 'có hiệu lực', 'cần có', 'hiểu là', 'hấp dẫn', 'lôi cuốn', 'lấy làm', 'lấy ra', 'lợi dụng', 'mang theo', 'mua dài hạn', 'mua thường xuyên', 'nhảy vào', 'quyến rũ', 'rút ra', 'sự cầm', 'sự lấy', 'sự nắm', 'thi hành', 'thu được', 'thành công', 'thực hiện', 'tiền thu', 'tom góp', 'trích ra', 'trốn tránh ở', 'vượt qua', 'xem như', 'yêu cầu', 'ăn ảnh', 'đem theo', 'đi tới', 'đòi hỏi', 'được ưa thích', 'cần', 'lái', 'học', 'thủ', 'bán', 'nạp', 'năm', 'vịn', 'cho rằng', 'chụp ảnh', 'nghĩ rằng', 'phản ứng', 'tiếp nhận', 'trừ đi', 'đi vào', 'đạt được']"
usurp,"['chiếm đoạt', 'cướp', 'tiếm', 'choán', 'cướp đoạt', 'lấn chiếm', 'chiếm']"
usurpation,"['sự chiếm đoạt', 'sự cướp đoạt', 'sự lấn chiếm']"
usurpation,"['sự chiếm đoạt', 'sự cướp đoạt', 'sự lấn chiếm']"
shop,"['cửa hàng', 'đi mua hàng', 'tiệm', 'hiệu', 'sắm', 'phân xưởng', 'cửa tiệm', 'hàng quán', 'quán', 'bắt giam', 'bị tù', 'bỏ tù', 'công việc làm ăn', 'công xưởng', 'cơ sở', 'cửa hiệu', 'mua sắm', 'sắm sanh', 'trường sở nghề nghiệp', 'đi chợ', 'đi khảo giá', 'phố', 'kho', 'điếm']"
asymptotic,"['tiệm cận', 'gần đúng']"
progressive,"['tiến bộ', 'luỹ tiến', 'lũy tiến', 'người tiến bộ', 'phát triển không ngừng', 'tiến hành', 'tiến lên', 'tiến tới', 'tăng dần lên', 'tăng không ngừng', 'tiếp diễn', 'dần dần', 'lần lần', 'tiến triển', 'tiệm tiến', 'tuần tự', 'tuần tự nhi tiến', 'từ từ']"
fairy,"['tiên', 'nàng tiên', 'khá', 'bà tiên', 'cánh tiên', 'hư cấu', 'người đồng dâm nam', 'ngọc nữ', 'tiên nga', 'tưởng tượng', 'uyển chuyển như tiên', 'xinh đẹp như tiên', 'Tiên Nữ', 'thần tiên']"
first sight,['cannot found']
first,"['đầu tiên', 'thứ nhất', 'cơ bản', 'trước', 'số một', 'đầu', 'tiên', 'trước hết', 'thà', 'buổi đầu', 'cái đã', 'lúc đầu', 'lần đầu', 'ngày mùng một', 'người thứ nhất', 'người đầu tiên', 'quan trọng nhất', 'trước tiên', 'vật thứ nhất', 'vật đầu tiên', 'đầu tay', 'first', 'nguyên', '頭', 'trước nhất', 'đệ nhất']"
fairy palace,['cannot found']
knitting fairy,['cannot found']
premise,"['tiền đề', 'vườn tược', 'giả thuyết', 'nhà cửa', 'những cái kể trên', 'sinh cơ', 'tài sản kể trên', 'đặt thành tiền đề']"
first emperor,['cannot found']
predict,"['dự đoán', 'đoán trước', 'báo trước', 'nói trước', 'tiên đoán']"
dong dong,['cannot found']
fairyland,"['chốn thiên tiên', 'cõi trên', 'nơi tiên cảnh', 'tiên cảnh', 'tiên giới']"
sage,"['khôn', 'hiền nhân', 'hiền', 'cao kiến', 'chính chắn', 'già giặn', 'hiền triết', 'khôn ngoan', 'nghiêm trang', 'nhà hiền triết', 'sage-brush', 'thánh', '聖']"
seer,"['nhà tiên tri', 'cân Ân-độ', 'lít Ân-độ']"
paralytic,"['bị liệt', 'liệt', 'bị tê liệt', 'người bị liệt', 'say mèm', 'say tí bỉ']"
